pharmacy_id,zip3,pharmacy_type,ownership,weekly_total_trx
PH0002,100,Retail,Independent,152
PH0003,100,Retail,Chain,1692
PH0004,100,Retail,Chain,1990
PH0006,100,Retail,Chain,484
PH0009,100,Retail,Independent,291
PH0012,100,Retail,Chain,203
PH0014,100,Retail,Independent,273
PH0016,100,Retail,Chain,896
PH0017,100,Retail,Chain,318
PH0019,100,Retail,Chain,680
PH0020,100,Retail,Chain,372
PH0021,100,Retail,Chain,529
PH0024,100,Retail,Independent,721
PH0025,100,Retail,Chain,505
PH0027,100,Retail,Chain,259
PH0028,100,Retail,Chain,398
PH0029,100,Retail,Chain,376
PH0030,100,Retail,Chain,1063
PH0031,100,Retail,Chain,635
PH0033,100,Retail,Chain,324
PH0034,100,Retail,Chain,470
PH0037,100,Retail,Chain,244
PH0038,100,Retail,Independent,117
PH0039,100,Retail,Chain,656
PH0040,100,Retail,Chain,307
PH0041,100,Retail,Chain,531
PH0043,100,Retail,Chain,565
PH0046,100,Retail,Chain,226
PH0047,100,Retail,Chain,324
PH0049,100,Retail,Chain,274
PH0050,100,Retail,Chain,387
PH0051,100,Retail,Chain,544
PH0052,100,Retail,Chain,241
PH0053,100,Retail,Chain,234
PH0054,100,Retail,Chain,408
PH0057,100,Retail,Independent,162
PH0058,100,Retail,Chain,891
PH0059,100,Retail,Chain,540
PH0060,100,Retail,Chain,375
PH0061,100,Retail,Chain,425
PH0062,100,Retail,Chain,233
PH0064,100,Retail,Chain,298
PH0066,100,Retail,Chain,377
PH0067,100,Retail,Chain,430
PH0069,100,Retail,Independent,194
PH0071,100,Specialty,Chain,251
PH0072,100,Specialty,Chain,277
PH0073,100,Specialty,Chain,306
PH0075,104,Retail,Chain,887
PH0076,104,Retail,Chain,466
PH0077,104,Retail,Chain,396
PH0078,104,Retail,Chain,780
PH0081,104,Retail,Chain,598
PH0082,104,Retail,Chain,792
PH0083,104,Retail,Independent,228
PH0085,104,Retail,Independent,111
PH0086,104,Retail,Chain,565
PH0087,104,Retail,Chain,538
PH0088,104,Retail,Chain,1082
PH0089,104,Retail,Chain,346
PH0091,104,Retail,Chain,1230
PH0092,104,Retail,Chain,353
PH0094,104,Retail,Chain,764
PH0096,104,Retail,Independent,134
PH0098,104,Retail,Chain,716
PH0099,104,Retail,Independent,293
PH0100,104,Retail,Chain,320
PH0101,104,Retail,Chain,914
PH0103,104,Retail,Chain,604
PH0105,104,Retail,Chain,459
PH0107,104,Retail,Independent,81
PH0109,104,Retail,Chain,355
PH0111,104,Retail,Chain,430
PH0112,104,Retail,Chain,583
PH0113,104,Retail,Chain,880
PH0115,104,Retail,Chain,611
