dma,week,period,group,trx,dtc_tv_spend_alloc
DMA001,2025-11-17,pre,exposed,617,0
DMA001,2025-11-24,pre,exposed,610,0
DMA001,2025-12-01,pre,exposed,614,0
DMA001,2025-12-08,pre,exposed,613,0
DMA001,2025-12-15,pre,exposed,661,0
DMA001,2025-12-22,pre,exposed,633,0
DMA001,2025-12-29,pre,exposed,566,0
DMA001,2026-01-05,pre,exposed,644,0
DMA001,2026-01-12,test,exposed,629,14801
DMA001,2026-01-19,test,exposed,677,22881
DMA001,2026-01-26,test,exposed,738,19441
DMA001,2026-02-02,test,exposed,698,23066
DMA001,2026-02-09,test,exposed,705,21407
DMA001,2026-02-16,test,exposed,684,20340
DMA001,2026-02-23,test,exposed,650,20344
DMA001,2026-03-02,test,exposed,711,16816
DMA002,2025-11-17,pre,exposed,144,0
DMA002,2025-11-24,pre,exposed,147,0
DMA002,2025-12-01,pre,exposed,148,0
DMA002,2025-12-08,pre,exposed,145,0
DMA002,2025-12-15,pre,exposed,159,0
DMA002,2025-12-22,pre,exposed,152,0
DMA002,2025-12-29,pre,exposed,139,0
DMA002,2026-01-05,pre,exposed,143,0
DMA002,2026-01-12,test,exposed,151,3935
DMA002,2026-01-19,test,exposed,171,6083
DMA002,2026-01-26,test,exposed,177,5169
DMA002,2026-02-02,test,exposed,169,6132
DMA002,2026-02-09,test,exposed,172,5691
DMA002,2026-02-16,test,exposed,170,5408
DMA002,2026-02-23,test,exposed,159,5409
DMA002,2026-03-02,test,exposed,176,4471
DMA003,2025-11-17,pre,holdout,181,0
DMA003,2025-11-24,pre,holdout,167,0
DMA003,2025-12-01,pre,holdout,183,0
DMA003,2025-12-08,pre,holdout,176,0
DMA003,2025-12-15,pre,holdout,190,0
DMA003,2025-12-22,pre,holdout,186,0
DMA003,2025-12-29,pre,holdout,176,0
DMA003,2026-01-05,pre,holdout,176,0
DMA003,2026-01-12,test,holdout,178,0
DMA003,2026-01-19,test,holdout,191,0
DMA003,2026-01-26,test,holdout,191,0
DMA003,2026-02-02,test,holdout,175,0
DMA003,2026-02-09,test,holdout,183,0
DMA003,2026-02-16,test,holdout,180,0
DMA003,2026-02-23,test,holdout,166,0
DMA003,2026-03-02,test,holdout,181,0
DMA004,2025-11-17,pre,exposed,232,0
DMA004,2025-11-24,pre,exposed,223,0
DMA004,2025-12-01,pre,exposed,239,0
DMA004,2025-12-08,pre,exposed,229,0
DMA004,2025-12-15,pre,exposed,248,0
DMA004,2025-12-22,pre,exposed,218,0
DMA004,2025-12-29,pre,exposed,215,0
DMA004,2026-01-05,pre,exposed,226,0
DMA004,2026-01-12,test,exposed,226,6072
DMA004,2026-01-19,test,exposed,276,9387
DMA004,2026-01-26,test,exposed,274,7976
DMA004,2026-02-02,test,exposed,269,9463
DMA004,2026-02-09,test,exposed,270,8782
DMA004,2026-02-16,test,exposed,259,8345
DMA004,2026-02-23,test,exposed,232,8346
DMA004,2026-03-02,test,exposed,272,6899
DMA005,2025-11-17,pre,exposed,352,0
DMA005,2025-11-24,pre,exposed,349,0
DMA005,2025-12-01,pre,exposed,380,0
DMA005,2025-12-08,pre,exposed,371,0
DMA005,2025-12-15,pre,exposed,385,0
DMA005,2025-12-22,pre,exposed,362,0
DMA005,2025-12-29,pre,exposed,342,0
DMA005,2026-01-05,pre,exposed,377,0
DMA005,2026-01-12,test,exposed,389,9017
DMA005,2026-01-19,test,exposed,427,13940
DMA005,2026-01-26,test,exposed,407,11844
DMA005,2026-02-02,test,exposed,435,14052
DMA005,2026-02-09,test,exposed,428,13042
