week,trx,hcp_detailing_spend,conferences_spend,digital_spend,email_spend,dtc_tv_spend,hcp_calls,competitor_active,pbm_preferred_share
2023-07-03,1581,74074,0,47857,14405,0,180,0,0.38
2023-07-10,2519,129041,0,56909,14929,0,312,0,0.38
2023-07-17,3894,167790,250000,57558,14774,0,415,0,0.38
2023-07-24,3233,160280,0,58951,0,0,394,0,0.38
2023-07-31,3191,162482,0,59616,14253,0,423,0,0.38
2023-08-07,3046,183885,0,29231,12561,0,444,0,0.38
2023-08-14,2792,162573,0,8000,9718,0,419,0,0.38
2023-08-21,2242,154619,0,8000,0,0,375,0,0.38
2023-08-28,2656,176105,0,8000,7806,0,431,0,0.38
2023-09-04,4412,169812,342038,46275,8112,0,415,0,0.38
2023-09-11,4174,169500,41045,46687,8953,0,423,0,0.38
2023-09-18,4042,165354,0,54587,0,0,405,0,0.38
2023-09-25,4129,158312,0,52077,12818,0,377,0,0.38
2023-10-02,4063,146990,0,55249,12303,0,340,0,0.38
2023-10-09,4690,183486,0,54227,10887,0,447,0,0.38
2023-10-16,4697,163366,0,112669,0,0,410,0,0.38
2023-10-23,5486,171238,0,105462,14836,0,428,0,0.38
2023-10-30,5409,174903,0,99395,13024,0,426,0,0.38
2023-11-06,6645,164009,419400,50021,7139,0,414,0,0.38
2023-11-13,5623,150960,50328,56190,0,0,364,0,0.38
2023-11-20,5697,143799,0,53223,8370,0,353,0,0.38
2023-11-27,5389,132942,0,42656,7733,0,328,0,0.38
2023-12-04,6118,166752,0,55070,7038,0,381,0,0.38
2023-12-11,6468,155659,0,98091,0,0,381,0,0.38
2023-12-18,7974,76914,670931,88933,4732,0,182,0,0.38
2023-12-25,6799,71374,80512,12745,6419,0,166,0,0.38
2024-01-01,6237,74370,0,14009,4023,0,181,0,0.38
2024-01-08,5367,167915,0,14311,0,0,393,0,0.38
2024-01-15,7567,165579,0,53406,6974,0,391,0,0.38
2024-01-22,7620,165809,0,59615,3942,0,392,0,0.38
2024-01-29,8696,176179,0,71575,5069,391370,434,0,0.38
2024-02-05,9290,176697,0,82818,0,427976,437,0,0.38
2024-02-12,10286,181790,0,62520,5582,423795,437,0,0.38
2024-02-19,10452,155723,0,69144,5912,441923,400,0,0.38
2024-02-26,10972,157051,0,102519,5392,514657,381,0,0.38
2024-03-04,11214,169378,0,113241,0,518075,412,0,0.38
2024-03-11,11706,173043,0,123160,8526,481127,401,0,0.38
2024-03-18,13000,176047,499048,77919,11283,433172,399,0,0.38
2024-03-25,11460,167550,59886,60885,9186,0,412,0,0.38
2024-04-01,10216,173942,0,86335,0,0,420,0,0.38
2024-04-08,9945,159369,0,101076,11113,0,374,0,0.38
2024-04-15,9944,154727,0,103396,10631,0,370,0,0.38
2024-04-22,9585,155262,0,57190,10443,0,376,0,0.38
2024-04-29,9287,159861,0,60370,0,0,384,0,0.38
2024-05-06,9552,157213,0,50614,12691,0,390,0,0.38
2024-05-13,9568,164459,0,49937,9294,0,386,0,0.38
2024-05-20,11201,167223,338872,63272,11073,332630,407,0,0.38
2024-05-27,11621,174177,40665,73459,0,512122,428,0,0.38
2024-06-03,12111,179468,0,75539,14566,472152,435,0,0.38
2024-06-10,12107,165282,0,60549,13626,507981,382,0,0.38
2024-06-17,11846,184583,0,67585,13270,465721,449,0,0.38
2024-06-24,12001,154677,0,69759,0,498578,398,0,0.38
2024-07-01,11799,141382,0,83027,10314,433019,347,0,0.38
